Taxid	Assembly	Specie	assembly_level	To_retrieve_MassSpec	Specie_name_orig_dataset
2287	GCA_000007005.1	Saccharolobus^solfataricus^P2	Complete Genome	1	Sulfolobus solfaticarius
2320	GCA_000007185.1	Methanopyrus^kandleri^AV19	Complete Genome	1	Methanopyrus kandleri
2261	GCA_000007305.1	Pyrococcus^furiosus^DSM^3638	Complete Genome	1	Pyrococcus furiosus
82076	GCA_000008265.1	Picrophilus^torridus^DSM^9790	Complete Genome	1	Picrophilus torridus
145262	GCA_000008645.1	Methanothermobacter^thermautotrophicus^str.^Delta^H	Complete Genome	1	Methanothermobacter thermautotrophicus
2234	GCA_000008665.1	Archaeoglobus^fulgidus^DSM^4304	Complete Genome	1	Archaeoglobus fulgidus
2238	GCA_000011085.1	Haloarcula^marismortui^ATCC^43049	Complete Genome	1	Haloarculamarismortui
50339	GCA_000011185.1	Thermoplasma^volcanium^GSS1	Complete Genome	1	Thermoplasma volcanium
2285	GCA_000012285.1	Sulfolobus^acidocaldarius^DSM^639	Complete Genome	1	Sulfolobus acidocaldicarius
84156	GCA_000025285.1	Archaeoglobus^profundus^DSM^5631	Complete Genome	1	Archaeoglobus profundus
54261	GCA_000025505.1	Ferroglobus^placidus^DSM^10642	Complete Genome	1	Ferroglobus placidus
2190	GCA_000091665.1	Methanocaldococcus^jannaschii^DSM^2661	Complete Genome	1	Mathanocaldococcus jannaschii
145263	GCA_000145295.1	Methanothermobacter^marburgensis^str.^Marburg	Complete Genome	1	Methanothermobacter marburgensis
2303	GCA_000195915.1	Thermoplasma^acidophilum^DSM^1728	Complete Genome	1	Thermoplasma acidophilum
2265	GCA_000246985.3	Thermococcus^litoralis^DSM^5473	Complete Genome	1	Thermococcus litoralis
2252	GCA_000306765.2	Haloferax^mediterranei^ATCC^33500	Complete Genome	1	Haloferax mediterranei
2208	GCA_000970025.1	Methanosarcina^barkeri^MS	Complete Genome	1	Methanosarcina barkeri
2242	GCA_000069025.1	Halobacterium^salinarum^R1	Complete Genome	1	Halobacterium sp
1291540	GCA_000300255.2	Candidatus^Methanomethylophilus^alvus^Mx1201	Complete Genome	1	Methanomethylophilus alvus
1080712	GCA_000308215.1	Methanomassiliicoccus^luminyensis^B10	Contig	1	Methanomassiliicoccus luminyensis
751944	GCA_000230955.3	Halobacterium^sp.^DL1	Complete Genome		
2188	GCA_000006175.2	Methanococcus^voltae^A3	Complete Genome		
2209	GCA_000007065.1	Methanosarcina^mazei^Go1	Complete Genome		
13773	GCA_000007225.1	Pyrobaculum^aerophilum^str.^IM2	Complete Genome		
2214	GCA_000007345.1	Methanosarcina^acetivorans^C2A	Complete Genome		
160232	GCA_000008085.1	Nanoarchaeum^equitans^Kin4-M	Complete Genome		
311400	GCA_000009965.1	Thermococcus^kodakarensis^KOD1	Complete Genome		
570267	GCA_000011005.1	Methanocella^paludicola^SANAE	Complete Genome		
53953	GCA_000011105.1	Pyrococcus^horikoshii^OT3	Complete Genome		
56636	GCA_000011125.1	Aeropyrum^pernix^K1	Complete Genome		
111955	GCA_000011205.1	Sulfurisphaera^tokodaii^str.^7	Complete Genome		
39152	GCA_000011585.1	Methanococcus^maripaludis^S2	Complete Genome		
2317	GCA_000012545.1	Methanosphaera^stadtmanae^DSM^3091	Complete Genome		
2203	GCA_000013445.1	Methanospirillum^hungatei^JF-1	Complete Genome		
29291	GCA_000013725.1	Methanococcoides^burtonii^DSM^6242	Complete Genome		
2224	GCA_000014945.1	Methanothrix^thermoacetophila^PT	Complete Genome		
54248	GCA_000015145.1	Hyperthermus^butylicus^DSM^5456	Complete Genome		
2277	GCA_000015205.1	Pyrobaculum^islandicum^DSM^4184	Complete Genome		
2269	GCA_000015225.1	Thermofilum^pendens^Hrk^5	Complete Genome		
83984	GCA_000015765.1	Methanocorpusculum^labreanum^Z	Complete Genome		
181486	GCA_000015805.1	Pyrobaculum^calidifontis^JCM^11548	Complete Genome		
2198	GCA_000015825.1	Methanoculleus^marisnigri^JR1	Complete Genome		
2280	GCA_000015945.1	Staphylothermus^marinus^F1	Complete Genome		
39152	GCA_000016125.1	Methanococcus^maripaludis^C5	Complete Genome		
121277	GCA_000016385.1	Pyrobaculum^arsenaticum^DSM^13514	Complete Genome		
2173	GCA_000016525.1	Methanobrevibacter^smithii^ATCC^35061	Complete Genome		
43687	GCA_000016605.1	Metallosphaera^sedula^DSM^5348	Complete Genome		
2187	GCA_000017165.1	Methanococcus^vannielii^SB	Complete Genome		
42879	GCA_000017185.1	Methanococcus^aeolicus^Nankai-3	Complete Genome		
39152	GCA_000017225.1	Methanococcus^maripaludis^C7	Complete Genome		
358766	GCA_000017625.1	Methanoregula^boonei^6A8	Complete Genome		
160233	GCA_000017945.1	Ignicoccus^hospitalis^KIN4/I	Complete Genome		
76887	GCA_000018305.1	Caldivirga^maquilingensis^IC-167	Complete Genome		
342948	GCA_000018365.1	Thermococcus^onnurineus^NA1	Complete Genome		
338192	GCA_000018465.1	Nitrosopumilus^maritimus^SCM1	Complete Genome		
39152	GCA_000018485.1	Methanococcus^maripaludis^C6	Complete Genome		
498846	GCA_000019605.1	Candidatus^Korarchaeum^cryptofilum^OPF8	Complete Genome		
70771	GCA_000019805.1	Pyrobaculum^neutrophilum^V24Sta	Complete Genome		
94694	GCA_000020905.1	Desulfurococcus^amylolyticus^1221n	Complete Genome		
475088	GCA_000021965.1	Methanosphaerula^palustris^E1-9c	Complete Genome		
2247	GCA_000022205.1	Halorubrum^lacusprofundi^ATCC^49239	Complete Genome		
187878	GCA_000022365.1	Thermococcus^gammatolerans^EJ3	Complete Genome		
43080	GCA_000022385.1	Sulfolobus^islandicus^L.S.2.15	Complete Genome		
172049	GCA_000022545.1	Thermococcus^sibiricus^MM^739	Complete Genome		
146826	GCA_000023945.1	Halorhabdus^utahensis^DSM^12940	Complete Genome		
57705	GCA_000023965.1	Halomicrobium^mukohataei^DSM^12286	Complete Genome		
83171	GCA_000023985.1	Methanocaldococcus^fervens^AG86	Complete Genome		
83816	GCA_000024185.1	Methanobrevibacter^ruminantium^M1	Complete Genome		
73913	GCA_000024625.1	Methanocaldococcus^vulcanius^M7	Complete Genome		
62320	GCA_000025325.1	Haloterrigena^turkmenica^DSM^5511	Complete Genome		
644281	GCA_000025525.1	Methanocaldococcus^sp.^FS406-22	Complete Genome		
13769	GCA_000025625.1	Natrialba^magadii^ATCC^43099	Complete Genome		
379547	GCA_000025665.1	Aciduliprofundum^boonei^T469	Complete Genome		
2246	GCA_000025685.1	Haloferax^volcanii^DS2	Complete Genome		
2176	GCA_000025865.1	Methanohalophilus^mahii^DSM^5219	Complete Genome		
2257	GCA_000026045.1	Natronomonas^pharaonis^DSM^2160	Complete Genome		
1175445	GCA_000063445.1	Methanocella^arvoryzae^MRE50	Complete Genome		
54254	GCA_000092185.1	Thermosphaera^aggregans^DSM^11486	Complete Genome		
67760	GCA_000092305.1	Methanocaldococcus^infernus^ME	Complete Genome		
84599	GCA_000092465.1	Staphylothermus^hellenicus^DSM^12710	Complete Genome		
242703	GCA_000144915.1	Acidilobus^saccharovorans^345-15	Complete Genome		
334771	GCA_000145985.1	Ignisphaera^aggregans^DSM^17230	Complete Genome		
54120	GCA_000147875.1	Methanolacinia^petrolearia^DSM^11571	Complete Genome		
164451	GCA_000148385.1	Vulcanisaeta^distributa^DSM^14429	Complete Genome		
55802	GCA_000151105.2	Thermococcus^barophilus^MP	Complete Genome		
246969	GCA_000151205.2	Thermococcus^sp.^AM4	Complete Genome		
97393	GCA_000152265.2	Ferroplasma^acidarmanus^fer1	Complete Genome		
2180	GCA_000166095.1	Methanothermus^fervidus^DSM^2088	Complete Genome		
60847	GCA_000172995.2	Halogeometricum^borinquense^DSM^11551	Complete Genome		
155863	GCA_000179575.2	Methanothermococcus^okinawensis^IH1	Complete Genome		
2275	GCA_000186365.1	Desulfurococcus^mucosus^DSM^2162	Complete Genome		
367189	GCA_000187225.2	Haladaptatus^paucihalophilus^DX253	Contig		
2173	GCA_000190135.2	Methanobrevibacter^smithii^TS96A	Contig		
985052	GCA_000190315.1	Vulcanisaeta^moutnovskia^768-28	Complete Genome		
877455	GCA_000191585.1	Methanobacterium^lacus	Complete Genome		
184117	GCA_000193375.1	Thermoproteus^uzoniensis^768-20	Complete Genome		
58290	GCA_000194625.1	Archaeoglobus^veneficus^SNP6	Complete Genome		
2208	GCA_000195895.1	Methanosarcina^barkeri^str.^Fusaro	Complete Genome		
29292	GCA_000195935.2	Pyrococcus^abyssi^GE5	Complete Genome		
2322	GCA_000196655.1	Methanohalobium^evestigatum^Z-7303	Complete Genome		
413810	GCA_000196895.1	Halalkalicoccus^jeotgali^B3	Complete Genome		
46770	GCA_000200715.1	Cenarchaeum^symbiosum^A	Chromosome		
2223	GCA_000204415.1	Methanothrix^soehngenii^GP6	Complete Genome		
