Specie	NbDetectedProt	NbTFmeasured	TotalTF	TotalTF_no_outliers	MedianTF	VarTF
Archaeoglobus fulgidus	33	33	0.262312581273629	0.262312581273629	0.0058748092055174	4.49517538904301e-05
Archaeoglobus profundus	23	23	0.285462745789285	0.285462745789285	0.00388112466883934	0.000490331121813912
Ferroglobus placidus	32	32	0.644828414879629	0.644828414879629	0.00754902370014605	0.000980700386433573
Halobacterium sp	48	48	1.28271587216676	1.28271587216676	0.00675789541246219	0.00391229001792506
Haloferax volcanii	90	90	2.3994889406	1.4568413406	0.01188251	0.00620558250077294
Mathanocaldococcus jannaschii	25	25	1.29916413110024	0.238837557424446	0.006079235	0.0324361690432744
Methanomassiliicoccus luminyensis	58	58	1.08379111806	0.90025181806	0.003860291	0.00164660369094338
Methanomethylophilus alvus	26	26	0.37938126946	0.37938126946	0.0058170275	0.000423504285878029
Methanopyrus kandleri	18	18	0.4906462309	0.2597673309	0.008179592	0.00280451176559854
Methanosarcina barkeri	36	36	0.496651146	0.270167146	0.0015707325	0.00149778956229883
Methanothermobacter marburgensis	21	21	0.5356676597	0.5356676597	0.006521964	0.00132438903747307
Methanothermobacter thermautotrophicus	19	19	0.4799582064	0.4799582064	0.003581944	0.00104968420217231
Natrialba magadii	68	68	0.62698918319	0.43437193319	0.0022166255	0.000291796030794966
Nitrosopumilus^maritimus^SCM1	24	24	1.951498676	1.415619176	0.012614425	0.0502272809388796
Picrophilus torridus	19	19	0.4092177472	0.4092177472	0.009901233	0.000954864379727386
Sulfolobus acidocaldicarius	22	22	0.6758888254	0.4108853254	0.01145921	0.00338704634429517
Thermococcus^kodakarensis^KOD1	40	40	2.289346934	1.290986634	0.02373724	0.0145925712781915
Thermoplasma acidophilum	20	20	0.2180828411	0.2180828411	0.005342008	0.000235808455185824
Thermoplasma volcanium	30	30	0.7821471059	0.7821471059	0.016171705	0.00202092893290359
