Specie	CountTF	CountNoPfam	TotalProportionCandidates	PercentNAP	TotalProportionCandidatesOperon
Archaeoglobus fulgidus	0	0	0	2.93864696752401	2.06163015700288
Archaeoglobus profundus	0	1	0.215380749141448	5.16524889860102	2.77461575356993
Ferroglobus placidus	0	1	0.171694717979825	4.86652703136229	0.406892564077593
Halobacterium sp	0	1	0.172455595223013	0.211721244194807	1.00781066763037
Haloferax volcanii	2	0	0.9426476	0.108114524789413	0.9426476
Mathanocaldococcus jannaschii	2	0	1.0603265736758	0.716375658394029	1.1812361736758
Methanomassiliicoccus luminyensis	1	2	1.7301019	0	2.1056192
Methanomethylophilus alvus	0	1	0.1387469	0	0.1387469
Methanopyrus kandleri	1	0	0.2308789	1.92097380113719	0.32690613
Methanosarcina barkeri	1	0	0.226484	0.319097177111756	0.60579341
Methanothermobacter marburgensis	0	0	0	1.65589404036534	0
Methanothermobacter thermautotrophicus	0	0	0	2.24372782046479	0
Natrialba magadii	3	0	0.19261725	0.028344769089914	0.38285549
Nitrosopumilus^maritimus^SCM1	2	0	0.5358795	0.202609472966196	2.0587991
Picrophilus torridus	0	0	0	1.74191489844237	0.4205345
Sulfolobus acidocaldicarius	1	0	0.2650035	2.54427540493214	0.2650035
Thermococcus^kodakarensis^KOD1	2	1	1.3408547	2.65029262629607	1.6257016
Thermoplasma acidophilum	0	2	0.4425644	0.834213937834051	0.797312
Thermoplasma volcanium	0	2	1.4764233	1.88113757837032	2.2140135
