ID	SVM score	Prediction
AAF10483.1	-0.58801567	non DNA-binding protein
AAF11357.1	-1.8864896	non DNA-binding protein
AAF11942.1	-0.32798021	non DNA-binding protein
BAB79735.1	-0.86701449	non DNA-binding protein
BAB79784.1	-3.6524146	non DNA-binding protein
BAB80083.1	-1.6857549	non DNA-binding protein
BAB80231.1	-1.9396017	non DNA-binding protein
BAB80493.1	-0.58493973	non DNA-binding protein
BAB80667.1	0.2199048	DNA-binding protein
BAB80783.1	0.46900307	DNA-binding protein
BAB81154.1	0.72573753	DNA-binding protein
BAB81334.1	-1.771476	non DNA-binding protein
BAB81341.1	-0.69236527	non DNA-binding protein
BAB81360.1	-1.4805044	non DNA-binding protein
BAB81522.1	-0.58291202	non DNA-binding protein
BAB81673.1	-0.81561307	non DNA-binding protein
BAB82010.1	-1.6890415	non DNA-binding protein
BAB82040.1	-0.34223736	non DNA-binding protein
BAD46990.1	-0.28886904	non DNA-binding protein
BAD47063.1	0.5103175	DNA-binding protein
BAD47065.1	0.4495771	DNA-binding protein
BAD47146.1	0.86999908	DNA-binding protein
BAD47278.1	0.044379091	DNA-binding protein
BAD47284.1	-1.3565732	non DNA-binding protein
BAD47323.1	-0.34648578	non DNA-binding protein
BAD47507.1	-0.57469858	non DNA-binding protein
BAD47742.1	-0.19230908	non DNA-binding protein
BAD47795.1	-0.42793393	non DNA-binding protein
BAD48639.1	0.10464873	DNA-binding protein
BAD49147.1	-0.52850781	non DNA-binding protein
BAD49358.1	0.064555152	DNA-binding protein
BAD50245.1	-1.5565658	non DNA-binding protein
BAD50360.1	-0.48046146	non DNA-binding protein
BAD50386.1	-0.86130877	non DNA-binding protein
BAD50429.1	-0.41866747	non DNA-binding protein
BAD50473.1	-0.082184243	non DNA-binding protein
BAD50478.1	-0.038194114	non DNA-binding protein
BAD50533.1	-1.9155557	non DNA-binding protein
BAD50605.1	0.39433713	DNA-binding protein
BAD50861.1	0.66986212	DNA-binding protein
BAD51080.1	0.068421189	DNA-binding protein
BAD51202.1	-0.10277271	non DNA-binding protein
BAD51253.1	-0.27157603	non DNA-binding protein
BAF39351.1	-1.4978072	non DNA-binding protein
BAF39548.1	-1.5287016	non DNA-binding protein
BAF39701.1	-1.3025601	non DNA-binding protein
BAF39807.1	-0.6494121	non DNA-binding protein
BAF39865.1	-1.0807898	non DNA-binding protein
BAF39891.1	-2.6192557	non DNA-binding protein
BAF40020.1	-0.16272863	non DNA-binding protein
BAF40136.1	-1.3198322	non DNA-binding protein
BAF40234.1	-0.75676504	non DNA-binding protein
AAO75689.1	-0.12384284	non DNA-binding protein
AAO75997.1	-0.78888964	non DNA-binding protein
AAO76675.1	0.01406153	DNA-binding protein
AAO76679.1	-0.75833011	non DNA-binding protein
AAO76835.1	-0.47673907	non DNA-binding protein
AAO76991.1	-0.72479792	non DNA-binding protein
AAO77151.1	-0.10205043	non DNA-binding protein
