ID	SVM score	Prediction
AAF09635.1	-0.62138837	non DNA-binding protein
AAF09668.1	-3.6862103	non DNA-binding protein
AAF09701.1	-2.9282641	non DNA-binding protein
AAF09712.1	-3.1201609	non DNA-binding protein
AAF09888.1	-1.0694713	non DNA-binding protein
AAF09913.1	-1.1831879	non DNA-binding protein
AAF09915.1	-4.6433182	non DNA-binding protein
AAF09928.1	0.1935927	DNA-binding protein
AAF09935.1	-2.2812608	non DNA-binding protein
AAF09945.1	-2.4820113	non DNA-binding protein
AAF09985.1	-3.6768991	non DNA-binding protein
AAF10076.1	-2.9337716	non DNA-binding protein
AAF10162.1	-0.96428578	non DNA-binding protein
AAF10256.1	-3.7945361	non DNA-binding protein
AAF10344.1	-1.1087232	non DNA-binding protein
AAF10380.1	-4.6957036	non DNA-binding protein
AAF10413.1	-2.0322486	non DNA-binding protein
AAF10464.1	-1.0840546	non DNA-binding protein
AAF10489.1	-3.0434371	non DNA-binding protein
AAF10497.1	-3.4845097	non DNA-binding protein
AAF10645.1	-4.2975347	non DNA-binding protein
AAF10759.1	-3.935924	non DNA-binding protein
AAF10821.1	-1.6278199	non DNA-binding protein
AAF10894.1	-2.1148786	non DNA-binding protein
AAF10960.1	-4.4096052	non DNA-binding protein
AAF11001.1	-0.95648454	non DNA-binding protein
AAF11004.1	-2.7138949	non DNA-binding protein
AAF11062.1	0.6976974	DNA-binding protein
AAF11084.1	-2.0354827	non DNA-binding protein
AAF11112.1	-3.7980272	non DNA-binding protein
AAF11170.1	-0.42946429	non DNA-binding protein
AAF11185.1	-1.9400193	non DNA-binding protein
AAF11217.1	-5.9386448	non DNA-binding protein
AAF11231.1	-1.7376173	non DNA-binding protein
AAF11259.1	-7.1755569	non DNA-binding protein
AAF11268.1	-3.440121	non DNA-binding protein
AAF11269.1	-3.8124299	non DNA-binding protein
AAF11306.1	-1.6147584	non DNA-binding protein
AAF11308.1	-0.38577675	non DNA-binding protein
AAF11309.1	0.024238994	DNA-binding protein
AAF11326.1	-1.1487368	non DNA-binding protein
AAF11398.1	-4.6565079	non DNA-binding protein
AAF11400.1	-2.3777201	non DNA-binding protein
AAF11427.1	-0.41134186	non DNA-binding protein
AAF11457.1	-2.9845051	non DNA-binding protein
AAF11478.1	-1.5288935	non DNA-binding protein
AAF11492.1	-5.8240369	non DNA-binding protein
AAF11517.1	-5.7954715	non DNA-binding protein
AAF11531.1	0.063368125	DNA-binding protein
AAF11549.1	-9.625215	non DNA-binding protein
AAF11627.1	1.2300798	DNA-binding protein
AAF11708.1	-3.8736797	non DNA-binding protein
AAF11744.1	-1.836706	non DNA-binding protein
AAF11762.1	-1.4935244	non DNA-binding protein
AAF11778.1	-1.2223016	non DNA-binding protein
AAF11792.1	-7.2726383	non DNA-binding protein
AAF11853.1	-1.7751771	non DNA-binding protein
AAF11865.1	-3.5768664	non DNA-binding protein
AAF11894.1	-5.4868561	non DNA-binding protein
AAF11925.1	0.36733237	DNA-binding protein
AAF12071.1	-2.3305927	non DNA-binding protein
AAF12073.1	-5.7126555	non DNA-binding protein
AAF12103.1	-3.584333	non DNA-binding protein
AAF12104.1	-3.6528343	non DNA-binding protein
AAF12105.1	-1.3500721	non DNA-binding protein
AAF12106.1	-0.68493958	non DNA-binding protein
AAF12137.1	-0.81183014	non DNA-binding protein
AAF12314.1	0.11440392	DNA-binding protein
AAF12530.1	-6.5026846	non DNA-binding protein
AAF12635.1	-2.4645906	non DNA-binding protein
BAB62440.1	-1.14262	non DNA-binding protein
BAB62469.1	-0.37099922	non DNA-binding protein
BAB79725.1	-4.1606863	non DNA-binding protein
BAB79738.1	-2.4628357	non DNA-binding protein
BAB79768.1	-1.1907278	non DNA-binding protein
BAB79808.1	-3.0695886	non DNA-binding protein
BAB79811.1	-0.24748975	non DNA-binding protein
BAB79815.1	-3.1161626	non DNA-binding protein
BAB79817.1	-1.6094057	non DNA-binding protein
BAB79870.1	-0.98461552	non DNA-binding protein
BAB79912.1	-0.99870809	non DNA-binding protein
BAB79944.1	-1.6929067	non DNA-binding protein
BAB79996.1	-1.9447204	non DNA-binding protein
BAB80000.1	-2.593578	non DNA-binding protein
BAB80082.1	-2.0306754	non DNA-binding protein
BAB80141.1	-1.6528311	non DNA-binding protein
BAB80240.1	-1.7909043	non DNA-binding protein
BAB80244.1	-0.6483213	non DNA-binding protein
BAB80252.1	-3.3927161	non DNA-binding protein
BAB80278.1	-2.1120397	non DNA-binding protein
BAB80357.1	-1.848247	non DNA-binding protein
BAB80370.1	-3.1514846	non DNA-binding protein
BAB80378.1	-0.49857376	non DNA-binding protein
BAB80409.1	-1.6606818	non DNA-binding protein
BAB80450.1	-1.5131409	non DNA-binding protein
BAB80494.1	-3.4845419	non DNA-binding protein
BAB80569.1	-1.4437687	non DNA-binding protein
BAB80589.1	-5.4502858	non DNA-binding protein
BAB80622.1	-2.2972347	non DNA-binding protein
BAB80629.1	-4.1382729	non DNA-binding protein
BAB80682.1	-2.044932	non DNA-binding protein
BAB80688.1	0.044127285	DNA-binding protein
BAB80794.1	-2.0767939	non DNA-binding protein
BAB80848.1	-1.7618061	non DNA-binding protein
BAB80868.1	-4.9493146	non DNA-binding protein
BAB80874.1	-1.6240756	non DNA-binding protein
BAB80876.1	1.1701537	DNA-binding protein
BAB80915.1	-0.27713501	non DNA-binding protein
BAB80919.1	0.39819448	DNA-binding protein
BAB81066.1	-2.8685235	non DNA-binding protein
BAB81103.1	-0.91288973	non DNA-binding protein
BAB81120.1	-1.049584	non DNA-binding protein
BAB81160.1	-3.0444641	non DNA-binding protein
BAB81182.1	0.034828161	DNA-binding protein
BAB81187.1	0.53888227	DNA-binding protein
BAB81194.1	0.3887704	DNA-binding protein
BAB81197.1	-2.9829463	non DNA-binding protein
BAB81201.1	1.5280667	DNA-binding protein
BAB81225.1	-1.3528743	non DNA-binding protein
BAB81300.1	-3.7483092	non DNA-binding protein
BAB81312.1	-1.0212284	non DNA-binding protein
BAB81319.1	-1.5561285	non DNA-binding protein
BAB81323.1	-1.556284	non DNA-binding protein
BAB81350.1	0.70768075	DNA-binding protein
