Assembly	Intergenes.Alignedpp.aboveThr.Nb	Intergenes.Alignedmm.aboveThr.Nb	PurineBias	Taxid	Specie	assembly_level	RegionNb	GeneNb	tRNA	rRNA	Size	GC.content.avg	GC.content.med	Gene.GC.content.avg	Gene.GC.content.med	Gene.length.avg	Gene.length.med	Promoters.GC.content.avg	Promoters.GC.content.med	Intergenes.GC.content.avg	Intergenes.GC.content.med	Intergenes.length.avg	Intergenes.length.med	Intergenes.Convergent.GC.content.avg	Intergenes.Convergent.GC.content.med	Intergenes.Convergent.length.avg	Intergenes.Convergent.length.med	Intergenes.Convergent.nb	Intergenes.Divergent.GC.content.avg	Intergenes.Divergent.GC.content.med	Intergenes.Divergent.length.avg	Intergenes.Divergent.nb	Intergenes.Alignedpp.GC.content.avg	Intergenes.Alignedpp.GC.content.med	Intergenes.Alignedpp.length.avg	Intergenes.length.content.med	Intergenes.Alignedpp.nb	Intergenes.Alignedmm.GC.content.avg	Intergenes.Alignedmm.GC.content.med	Intergenes.Alignedmm.length.avg	Intergenes.Alignedmm.nb	Compaction	CompactionBp	ConvergentIntergeneProportion	AlignedIntergeneProportion	DivergentIntergeneProportion	Tss.Nb	Tss.Proportion
GCA_000006175.2	449	504	0.573951801687702	2188	Methanococcus^voltae^A3	Complete Genome	1	1764	39	7	1936387	0.285945939525518	NA	0.318347571797678	0.313725490196078	883.864512471655	762	0.208811494909126	0.193548387096774	0.153839504354115	0.147058823529412	NA	NA	0.0964349281741809	0.0909090909090909	158	110	270	0.166488121818452	0.161900871459695	340.5	276	0.166319307759955	0.15	165.5	NA	544	0.162552699839338	0.15	178	599	0.000910974923917585	0.117740023042914	0.0220307200988232	0.0692073691880807	0.0485326538548338	1505	85.3174603174603
GCA_000007005.1	546	546	0.564066246432426	2287	Saccharolobus^solfataricus^P2	Complete Genome	1	3050	46	4	2992245	0.357871765179656	NA	0.369145235810282	0.36036036036036	1385.2954170788	744	0.296110379635725	0.290322580645161	0.283635331145384	0.28448275862069	NA	NA	0.300807189121939	0.306236080178174	274.615835777126	155	341	0.279866052031939	0.276652493235408	147	524	0.286694783330559	0.287666913946587	76	NA	646	0.274734256029605	0.276228906823184	60	658	0.00101930156120237	0.0408669744623184	0.0312955657040115	0.0151244299848442	0.0257425444774743	2140	70.1639344262295
GCA_000007065.1	874	828	0.544723186179055	2209	Methanosarcina^mazei^Go1	Complete Genome	1	3438	57	10	4096345	0.414849091079975	NA	0.438152372785224	0.445073090055484	8273.15595518868	765	0.351296036569529	0.338709677419355	0.325188900172461	0.327115231656393	NA	NA	0.328104984140295	0.325396825396825	282.994285714286	186	525	0.322471432751895	0.320949390220444	450	532	0.32751499793666	0.333333333333333	182.5	NA	1046	0.322657895472236	0.326923076923077	192	995	0.000839284777039043	0.113209763826045	0.0362694060192684	0.054767420712855	0.0584423431131899	2766	80.4537521815009
GCA_000007185.1	416	382	0.545908019571618	2320	Methanopyrus^kandleri^AV19	Complete Genome	1	1725	35	3	1694969	0.611591716426672	NA	0.610673504058357	0.609546165884194	878.986022131625	762	0.597070030530377	0.596774193548387	0.588268892138736	0.607308646162325	NA	NA	0.548249061207836	0.598183088749127	221.361963190184	86	163	0.622976596232992	0.624711993632441	79.5	270	0.584431661123266	0.603174603174603	39	NA	429	0.585218954174077	0.601953534135272	44	394	0.00101771772817084	0.0237892256436548	0.0212877049668755	0.0111252772174594	0.0126639484261954	1338	77.5652173913043
GCA_000007225.1	570	463	0.550517147446329	13773	Pyrobaculum^aerophilum^str.^IM2	Complete Genome	1	2706	36	3	2222430	0.51362517604604	NA	0.517971102311863	0.518987341772152	737.116141001855	603	0.416824352736229	0.403225806451613	0.416100910484746	0.424242424242424	NA	NA	0.487478999617709	0.506024096385542	169.209125475285	92	263	0.389380095394015	0.385542168674699	91	487	0.415702215493183	0.425445590994372	45	NA	644	0.405718569129619	0.416425818882466	45.5	530	0.00121758615569444	0.0317026857988778	0.020024027753405	0.0117619002623255	0.0199407855365523	2007	74.1685144124169
GCA_000007305.1	397	402	0.574053982454136	2261	Pyrococcus^furiosus^DSM^3638	Complete Genome	1	2169	46	4	1908256	0.407698967014908	NA	0.418444240415571	0.409631483681204	813.832255083179	726	0.363611823457957	0.354838709677419	0.331404040868985	0.333333333333333	NA	NA	0.373406251831482	0.355623100303951	132.986013986014	29	143	0.328143771041461	0.327683615819209	113	309	0.319703084471399	0.333333333333333	39	NA	529	0.333668134297483	0.333333333333333	35.5	526	0.00113663994767998	0.028880296983214	0.00996564402260494	0.0105824375765097	0.0182978594067043	1417	65.3296449976948
GCA_000007345.1	1143	1137	0.540066832457836	2214	Methanosarcina^acetivorans^C2A	Complete Genome	1	4550	NA	10	5751492	0.426808904541639	NA	0.440687927926885	0.448583624369422	46619.346897022	765	0.353747178142908	0.354838709677419	0.34530057802231	0.348360655737705	NA	NA	0.358660056097866	0.35810770020224	400.621813031161	235	706	0.338391843308155	0.338775510204082	402	723	0.345768860912776	0.35	203.5	NA	1224	0.341230753017484	0.347670250896057	200	1231	0.000791099074813979	0.100540564083198	0.0491766310376507	0.0500065461275092	0.0505340179556887	3726	81.8901098901099
GCA_000008085.1	85	76	0.583110590510909	160232	Nanoarchaeum^equitans^Kin4-M	Complete Genome	1	553	NA	17	490885	0.31559530236206	NA	0.321956150718491	0.308607886958402	829.824275362319	672	0.28762770493122	0.258064516129032	0.273723433618498	0.25	NA	NA	0.40852873209061	0.361290322580645	200.59375	105	32	0.247965508790806	0.24	53	109	0.284073353553435	0.25531914893617	31	NA	97	0.244536247821079	0.232051282051282	32	86	0.00112653676523015	0.0193324302025933	0.0130763824521018	0.00756388970940241	0.0117685404931909	379	68.5352622061483
GCA_000008265.1	272	258	0.562092940646412	82076	Picrophilus^torridus^DSM^9790	Complete Genome	1	1535	44	3	1545895	0.359704248994919	NA	0.368369794875379	0.36885865457294	924.214983713355	816	0.225819396261585	0.193548387096774	0.169875276114832	0.16	NA	NA	0.121651883893272	0	93.8467741935484	8.5	124	0.175223811318344	0.165902140672783	111	266	0.170340036292553	0.159090909090909	40	NA	366	0.182481276247857	0.165384615384615	37.5	348	0.000992952302711374	0.0285763263352298	0.00752767814114154	0.00947671090209878	0.019099615433131	1062	69.185667752443
GCA_000008645.1	561	532	0.551823339943353	145262	Methanothermobacter^thermautotrophicus^str.^Delta^H	Complete Genome	1	1916	39	6	1751377	0.495439302902802	NA	0.501384794751096	0.507936507936508	832.494780793319	714	0.398190972425502	0.403225806451613	0.381981355465979	0.38333926347625	NA	NA	0.387850654330023	0.39250700280112	162.517699115044	74	226	0.339079610870226	0.347826086956522	130	239	0.391802997706262	0.388194444444444	37	NA	604	0.387226160197992	0.397979797979798	37	571	0.00109399632403532	0.0305850767710207	0.0209714984266665	0.012844750159446	0.0177403266115748	1571	81.9937369519833
