Assembly	OriginalName	ProtName	Annot	Specie.x	Length	Type	Compo.*	Compo.A	Compo.C	Compo.D	Compo.E	Compo.F	Compo.G	Compo.H	Compo.I	Compo.K	Compo.L	Compo.M	Compo.N	Compo.P	Compo.Q	Compo.R	Compo.S	Compo.T	Compo.V	Compo.W	Compo.Y	Prop.Tiny	Prop.Small	Prop.Aliphatic	Prop.Aromatic	Prop.Non.polar	Prop.Polar	Prop.Charged	Prop.Basic	Prop.Acidic	Pi	Taxid	Specie.y	assembly_level	CC1
GCA_000007225.1	13773_Pyrobaculum^aerophilum^str.^IM2@AAL62754.1$GCA_000007225.1	AAL62754.1		0	56	0	0	5	0	2	4	3	3	0	3	11	4	2	0	2	2	2	2	4	3	0	4	0.25	0.375	0.178571428571429	0.125	0.517857142857143	0.482142857142857	0.339285714285714	0.232142857142857	0.107142857142857	9.82249914309902	13773	Pyrobaculum^aerophilum^str.^IM2	Complete Genome	1
GCA_000007225.1	13773_Pyrobaculum^aerophilum^str.^IM2@AAL64739.1$GCA_000007225.1	AAL64739.1		0	57	0	0	5	0	2	3	3	3	0	3	12	3	3	0	2	4	2	2	3	3	0	4	0.228070175438596	0.350877192982456	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	13773	Pyrobaculum^aerophilum^str.^IM2	Complete Genome	1
GCA_000007225.1	13773_Pyrobaculum^aerophilum^str.^IM2@AAL64814.1$GCA_000007225.1	AAL64814.1		0	57	0	0	5	0	2	3	3	3	0	3	12	3	3	0	2	4	2	2	3	3	0	4	0.228070175438596	0.350877192982456	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	13773	Pyrobaculum^aerophilum^str.^IM2	Complete Genome	1
GCA_000011125.1	56636_Aeropyrum^pernix^K1@BAF34785.1$GCA_000011125.1	BAF34785.1		0	56	0	0	4	0	2	5	5	3	0	3	13	2	1	1	2	0	3	1	3	3	0	5	0.196428571428571	0.339285714285714	0.142857142857143	0.178571428571429	0.5	0.5	0.410714285714286	0.285714285714286	0.125	9.90089893108493	56636	Aeropyrum^pernix^K1	Complete Genome	1
GCA_000015205.1	2277_Pyrobaculum^islandicum^DSM^4184@ABL87668.1$GCA_000015205.1	ABL87668.1		0	57	0	0	5	0	2	3	3	3	0	3	12	3	2	0	2	4	2	2	3	4	0	4	0.228070175438596	0.368421052631579	0.175438596491228	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	2277	Pyrobaculum^islandicum^DSM^4184	Complete Genome	1
GCA_000015205.1	2277_Pyrobaculum^islandicum^DSM^4184@ABL87724.1$GCA_000015205.1	ABL87724.1		0	57	0	0	5	0	2	3	3	3	0	3	12	3	2	0	2	4	2	2	3	4	0	4	0.228070175438596	0.368421052631579	0.175438596491228	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	2277	Pyrobaculum^islandicum^DSM^4184	Complete Genome	1
GCA_000015205.1	2277_Pyrobaculum^islandicum^DSM^4184@ABL88582.1$GCA_000015205.1	ABL88582.1		0	58	0	0	5	0	2	3	3	4	0	3	11	3	3	0	2	4	2	1	4	4	0	4	0.241379310344828	0.379310344827586	0.172413793103448	0.120689655172414	0.53448275862069	0.46551724137931	0.310344827586207	0.224137931034483	0.0862068965517241	9.94012817718827	2277	Pyrobaculum^islandicum^DSM^4184	Complete Genome	1
GCA_000015225.1	2269_Thermofilum^pendens^Hrk^5@ABL77499.1$GCA_000015225.1	ABL77499.1		0	54	0	0	2	4	0	1	1	4	1	2	7	2	2	3	2	5	4	1	5	5	0	3	0.296296296296296	0.481481481481481	0.166666666666667	0.0925925925925926	0.5	0.5	0.240740740740741	0.222222222222222	0.0185185185185185	10.0494465975274	2269	Thermofilum^pendens^Hrk^5	Complete Genome	1
GCA_000015805.1	181486_Pyrobaculum^calidifontis^JCM^11548@ABO08681.1$GCA_000015805.1	ABO08681.1		0	58	0	0	7	0	3	3	3	4	0	4	11	3	3	0	1	2	2	1	4	2	1	4	0.275862068965517	0.379310344827586	0.155172413793103	0.137931034482759	0.551724137931034	0.448275862068966	0.327586206896552	0.224137931034483	0.103448275862069	9.82249415425593	181486	Pyrobaculum^calidifontis^JCM^11548	Complete Genome	1
GCA_000015805.1	181486_Pyrobaculum^calidifontis^JCM^11548@ABO09179.1$GCA_000015805.1	ABO09179.1		0	57	0	0	5	0	2	3	3	3	0	2	12	3	3	0	2	4	2	2	3	4	0	4	0.228070175438596	0.368421052631579	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	181486	Pyrobaculum^calidifontis^JCM^11548	Complete Genome	1
